T_K,rho_P0,rho_TRANSFORM,cp_P0,cp_TRANSFORM,mu_P0,mu_TRANSFORM,k_P0,k_TRANSFORM
800.0,2304.7260,2304.7260,1967.0,2386.5,1.488517e-02,1.267441e-02,1.4400,1.0000
805.0,2302.1609,2302.1610,1967.0,2386.5,1.441970e-02,1.231024e-02,1.4400,1.0000
810.0,2299.5959,2299.5959,1967.0,2386.5,1.397426e-02,1.196083e-02,1.4400,1.0000
815.0,2297.0309,2297.0310,1967.0,2386.5,1.354780e-02,1.162545e-02,1.4400,1.0000
820.0,2294.4659,2294.4660,1967.0,2386.5,1.313932e-02,1.130340e-02,1.4400,1.0000
825.0,2291.9010,2291.9010,1967.0,2386.5,1.274789e-02,1.099400e-02,1.4400,1.0000
830.0,2289.3360,2289.3360,1967.0,2386.5,1.237262e-02,1.069666e-02,1.4400,1.0000
835.0,2286.7710,2286.7710,1967.0,2386.5,1.201270e-02,1.041077e-02,1.4400,1.0000
840.0,2284.2060,2284.2060,1967.0,2386.5,1.166735e-02,1.013579e-02,1.4400,1.0000
845.0,2281.6409,2281.6410,1967.0,2386.5,1.133584e-02,9.871205e-03,1.4400,1.0000
850.0,2279.0759,2279.0760,1967.0,2386.5,1.101748e-02,9.616515e-03,1.4400,1.0000
855.0,2276.5109,2276.5109,1967.0,2386.5,1.071163e-02,9.371262e-03,1.4400,1.0000
860.0,2273.9459,2273.9460,1967.0,2386.5,1.041769e-02,9.135007e-03,1.4400,1.0000
865.0,2271.3809,2271.3810,1967.0,2386.5,1.013507e-02,8.907337e-03,1.4400,1.0000
870.0,2268.8160,2268.8160,1967.0,2386.5,9.863230e-03,8.687862e-03,1.4400,1.0000
875.0,2266.2510,2266.2510,1967.0,2386.5,9.601668e-03,8.476211e-03,1.4400,1.0000
880.0,2263.6860,2263.6860,1967.0,2386.5,9.349898e-03,8.272033e-03,1.4400,1.0000
885.0,2261.1209,2261.1209,1967.0,2386.5,9.107463e-03,8.074999e-03,1.4400,1.0000
890.0,2258.5559,2258.5560,1967.0,2386.5,8.873934e-03,7.884794e-03,1.4400,1.0000
895.0,2255.9909,2255.9910,1967.0,2386.5,8.648903e-03,7.701119e-03,1.4400,1.0000
900.0,2253.4259,2253.4259,1967.0,2386.5,8.431984e-03,7.523693e-03,1.4400,1.0000
905.0,2250.8610,2250.8610,1967.0,2386.5,8.222813e-03,7.352248e-03,1.4400,1.0000
908.0,2249.3220,2249.3220,1967.0,2386.5,8.100885e-03,7.252146e-03,1.4400,1.0000
910.0,2248.2960,2248.2960,1967.0,2386.5,8.021045e-03,7.186531e-03,1.4400,1.0000
915.0,2245.7310,2245.7310,1967.0,2386.5,7.826352e-03,7.026299e-03,1.4400,1.0000
920.0,2243.1660,2243.1660,1967.0,2386.5,7.638425e-03,6.871323e-03,1.4400,1.0000
922.0,2242.1399,2242.1400,1967.0,2386.5,7.565083e-03,6.810755e-03,1.4400,1.0000
925.0,2240.6010,2240.6010,1967.0,2386.5,7.456970e-03,6.721386e-03,1.4400,1.0000
930.0,2238.0359,2238.0359,1967.0,2386.5,7.281708e-03,6.576281e-03,1.4400,1.0000
935.0,2235.4709,2235.4710,1967.0,2386.5,7.112373e-03,6.435810e-03,1.4400,1.0000
940.0,2232.9059,2232.9060,1967.0,2386.5,6.948716e-03,6.299787e-03,1.4400,1.0000
945.0,2230.3409,2230.3409,1967.0,2386.5,6.790497e-03,6.168032e-03,1.4400,1.0000
950.0,2227.7760,2227.7760,1967.0,2386.5,6.637490e-03,6.040377e-03,1.4400,1.0000
955.0,2225.2110,2225.2110,1967.0,2386.5,6.489478e-03,5.916660e-03,1.4400,1.0000
960.0,2222.6460,2222.6460,1967.0,2386.5,6.346258e-03,5.796726e-03,1.4400,1.0000
965.0,2220.0810,2220.0810,1967.0,2386.5,6.207635e-03,5.680428e-03,1.4400,1.0000
970.0,2217.5159,2217.5159,1967.0,2386.5,6.073421e-03,5.567627e-03,1.4400,1.0000
975.0,2214.9509,2214.9509,1967.0,2386.5,5.943442e-03,5.458189e-03,1.4400,1.0000
980.0,2212.3859,2212.3860,1967.0,2386.5,5.817529e-03,5.351985e-03,1.4400,1.0000
985.0,2209.8209,2209.8210,1967.0,2386.5,5.695521e-03,5.248895e-03,1.4400,1.0000
990.0,2207.2559,2207.2560,1967.0,2386.5,5.577266e-03,5.148803e-03,1.4400,1.0000
995.0,2204.6910,2204.6910,1967.0,2386.5,5.462618e-03,5.051596e-03,1.4400,1.0000
1000.0,2202.1260,2202.1260,1967.0,2386.5,5.351438e-03,4.957169e-03,1.4400,1.0000
