T_K,T_degC,rho_kg_m3,mu_Pa_s,mu_cP,cp_J_kgK,k_W_mK,Pr,nu_m2_s
800.0,526.85,2304.7260,1.488517e-02,14.8852,1967.0,1.4400,20.333,6.458542e-06
805.0,531.85,2302.1609,1.441970e-02,14.4197,1967.0,1.4400,19.697,6.263549e-06
810.0,536.85,2299.5959,1.397426e-02,13.9743,1967.0,1.4400,19.088,6.076834e-06
815.0,541.85,2297.0309,1.354780e-02,13.5478,1967.0,1.4400,18.506,5.897962e-06
820.0,546.85,2294.4659,1.313932e-02,13.1393,1967.0,1.4400,17.948,5.726527e-06
825.0,551.85,2291.9010,1.274789e-02,12.7479,1967.0,1.4400,17.413,5.562145e-06
830.0,556.85,2289.3360,1.237262e-02,12.3726,1967.0,1.4400,16.901,5.404458e-06
835.0,561.85,2286.7710,1.201270e-02,12.0127,1967.0,1.4400,16.409,5.253127e-06
840.0,566.85,2284.2060,1.166735e-02,11.6673,1967.0,1.4400,15.937,5.107834e-06
845.0,571.85,2281.6409,1.133584e-02,11.3358,1967.0,1.4400,15.484,4.968282e-06
850.0,576.85,2279.0759,1.101748e-02,11.0175,1967.0,1.4400,15.050,4.834187e-06
855.0,581.85,2276.5109,1.071163e-02,10.7116,1967.0,1.4400,14.632,4.705285e-06
860.0,586.85,2273.9459,1.041769e-02,10.4177,1967.0,1.4400,14.230,4.581325e-06
865.0,591.85,2271.3809,1.013507e-02,10.1351,1967.0,1.4400,13.844,4.462072e-06
870.0,596.85,2268.8160,9.863230e-03,9.8632,1967.0,1.4400,13.473,4.347303e-06
875.0,601.85,2266.2510,9.601668e-03,9.6017,1967.0,1.4400,13.116,4.236807e-06
880.0,606.85,2263.6860,9.349898e-03,9.3499,1967.0,1.4400,12.772,4.130386e-06
885.0,611.85,2261.1209,9.107463e-03,9.1075,1967.0,1.4400,12.441,4.027853e-06
890.0,616.85,2258.5559,8.873934e-03,8.8739,1967.0,1.4400,12.122,3.929030e-06
895.0,621.85,2255.9909,8.648903e-03,8.6489,1967.0,1.4400,11.814,3.833749e-06
900.0,626.85,2253.4259,8.431984e-03,8.4320,1967.0,1.4400,11.518,3.741851e-06
905.0,631.85,2250.8610,8.222813e-03,8.2228,1967.0,1.4400,11.232,3.653186e-06
908.0,634.85,2249.3220,8.100885e-03,8.1009,1967.0,1.4400,11.066,3.601479e-06
910.0,636.85,2248.2960,8.021045e-03,8.0210,1967.0,1.4400,10.957,3.567611e-06
915.0,641.85,2245.7310,7.826352e-03,7.8264,1967.0,1.4400,10.691,3.484991e-06
920.0,646.85,2243.1660,7.638425e-03,7.6384,1967.0,1.4400,10.434,3.405199e-06
922.0,648.85,2242.1399,7.565083e-03,7.5651,1967.0,1.4400,10.334,3.374046e-06
925.0,651.85,2240.6010,7.456970e-03,7.4570,1967.0,1.4400,10.186,3.328112e-06
930.0,656.85,2238.0359,7.281708e-03,7.2817,1967.0,1.4400,9.947,3.253615e-06
935.0,661.85,2235.4709,7.112373e-03,7.1124,1967.0,1.4400,9.715,3.181600e-06
940.0,666.85,2232.9059,6.948716e-03,6.9487,1967.0,1.4400,9.492,3.111961e-06
945.0,671.85,2230.3409,6.790497e-03,6.7905,1967.0,1.4400,9.276,3.044600e-06
950.0,676.85,2227.7760,6.637490e-03,6.6375,1967.0,1.4400,9.067,2.979424e-06
955.0,681.85,2225.2110,6.489478e-03,6.4895,1967.0,1.4400,8.864,2.916343e-06
960.0,686.85,2222.6460,6.346258e-03,6.3463,1967.0,1.4400,8.669,2.855272e-06
965.0,691.85,2220.0810,6.207635e-03,6.2076,1967.0,1.4400,8.479,2.796130e-06
970.0,696.85,2217.5159,6.073421e-03,6.0734,1967.0,1.4400,8.296,2.738840e-06
975.0,701.85,2214.9509,5.943442e-03,5.9434,1967.0,1.4400,8.119,2.683329e-06
980.0,706.85,2212.3859,5.817529e-03,5.8175,1967.0,1.4400,7.947,2.629527e-06
985.0,711.85,2209.8209,5.695521e-03,5.6955,1967.0,1.4400,7.780,2.577368e-06
990.0,716.85,2207.2559,5.577266e-03,5.5773,1967.0,1.4400,7.618,2.526787e-06
995.0,721.85,2204.6910,5.462618e-03,5.4626,1967.0,1.4400,7.462,2.477725e-06
1000.0,726.85,2202.1260,5.351438e-03,5.3514,1967.0,1.4400,7.310,2.430124e-06
