t_s,N_rpm,speed_ratio_numeric,speed_ratio_hyperbola,abs_err
0.0,1160.0000,1.0000000000,1.0000000000,0.000e+00
0.1,1131.7073,0.9756097561,0.9756097561,3.331e-16
0.2,1104.7619,0.9523809524,0.9523809524,2.220e-16
0.3,1079.0698,0.9302325581,0.9302325581,1.110e-16
0.4,1054.5455,0.9090909091,0.9090909091,3.331e-16
0.5,1031.1111,0.8888888889,0.8888888889,7.772e-16
0.6,1008.6957,0.8695652174,0.8695652174,8.882e-16
0.7,987.2340,0.8510638298,0.8510638298,9.992e-16
0.8,966.6667,0.8333333333,0.8333333333,8.882e-16
0.9,946.9388,0.8163265306,0.8163265306,9.992e-16
1.0,928.0000,0.8000000000,0.8000000000,1.443e-15
1.1,909.8039,0.7843137255,0.7843137255,1.554e-15
1.2,892.3077,0.7692307692,0.7692307692,1.443e-15
1.3,875.4717,0.7547169811,0.7547169811,1.443e-15
1.4,859.2593,0.7407407407,0.7407407407,1.332e-15
1.5,843.6364,0.7272727273,0.7272727273,1.554e-15
1.6,828.5714,0.7142857143,0.7142857143,1.443e-15
1.7,814.0351,0.7017543860,0.7017543860,1.443e-15
1.8,800.0000,0.6896551724,0.6896551724,1.887e-15
1.9,786.4407,0.6779661017,0.6779661017,1.776e-15
2.0,773.3333,0.6666666667,0.6666666667,2.109e-15
2.1,760.6557,0.6557377049,0.6557377049,2.109e-15
2.2,748.3871,0.6451612903,0.6451612903,1.665e-15
2.3,736.5079,0.6349206349,0.6349206349,1.443e-15
2.4,725.0000,0.6250000000,0.6250000000,2.109e-15
2.5,713.8462,0.6153846154,0.6153846154,2.109e-15
2.6,703.0303,0.6060606061,0.6060606061,1.887e-15
2.7,692.5373,0.5970149254,0.5970149254,1.221e-15
2.8,682.3529,0.5882352941,0.5882352941,1.110e-15
2.9,672.4638,0.5797101449,0.5797101449,1.443e-15
3.0,662.8571,0.5714285714,0.5714285714,9.992e-16
3.1,653.5211,0.5633802817,0.5633802817,7.772e-16
3.2,644.4444,0.5555555556,0.5555555556,1.221e-15
3.3,635.6164,0.5479452055,0.5479452055,7.772e-16
3.4,627.0270,0.5405405405,0.5405405405,3.331e-16
3.5,618.6667,0.5333333333,0.5333333333,2.220e-16
3.6,610.5263,0.5263157895,0.5263157895,2.220e-16
3.7,602.5974,0.5194805195,0.5194805195,2.220e-16
3.8,594.8718,0.5128205128,0.5128205128,4.441e-16
3.9,587.3418,0.5063291139,0.5063291139,2.220e-16
4.0,580.0000,0.5000000000,0.5000000000,1.110e-16
4.1,572.8395,0.4938271605,0.4938271605,5.551e-17
4.2,565.8537,0.4878048780,0.4878048780,2.220e-16
4.3,559.0361,0.4819277108,0.4819277108,0.000e+00
4.4,552.3810,0.4761904762,0.4761904762,5.551e-17
4.5,545.8824,0.4705882353,0.4705882353,5.551e-17
4.6,539.5349,0.4651162791,0.4651162791,2.220e-16
4.7,533.3333,0.4597701149,0.4597701149,2.776e-16
4.8,527.2727,0.4545454545,0.4545454545,3.331e-16
4.9,521.3483,0.4494382022,0.4494382022,3.331e-16
5.0,515.5556,0.4444444444,0.4444444444,5.551e-16
5.1,509.8901,0.4395604396,0.4395604396,2.220e-16
5.2,504.3478,0.4347826087,0.4347826087,4.441e-16
5.3,498.9247,0.4301075269,0.4301075269,4.441e-16
5.4,493.6170,0.4255319149,0.4255319149,3.886e-16
5.5,488.4211,0.4210526316,0.4210526316,3.886e-16
5.6,483.3333,0.4166666667,0.4166666667,1.665e-16
5.7,478.3505,0.4123711340,0.4123711340,1.110e-16
5.8,473.4694,0.4081632653,0.4081632653,5.551e-17
5.9,468.6869,0.4040404040,0.4040404040,1.110e-16
6.0,464.0000,0.4000000000,0.4000000000,1.110e-16
6.1,459.4059,0.3960396040,0.3960396040,2.220e-16
6.2,454.9020,0.3921568627,0.3921568627,3.886e-16
6.3,450.4854,0.3883495146,0.3883495146,3.886e-16
6.4,446.1538,0.3846153846,0.3846153846,3.331e-16
6.5,441.9048,0.3809523810,0.3809523810,3.886e-16
6.6,437.7358,0.3773584906,0.3773584906,3.331e-16
6.7,433.6449,0.3738317757,0.3738317757,3.331e-16
6.8,429.6296,0.3703703704,0.3703703704,5.551e-16
6.9,425.6881,0.3669724771,0.3669724771,4.996e-16
7.0,421.8182,0.3636363636,0.3636363636,5.551e-16
7.1,418.0180,0.3603603604,0.3603603604,4.996e-16
7.2,414.2857,0.3571428571,0.3571428571,7.772e-16
7.3,410.6195,0.3539823009,0.3539823009,7.216e-16
7.4,407.0175,0.3508771930,0.3508771930,6.661e-16
7.5,403.4783,0.3478260870,0.3478260870,8.327e-16
7.6,400.0000,0.3448275862,0.3448275862,1.055e-15
7.7,396.5812,0.3418803419,0.3418803419,1.110e-15
7.8,393.2203,0.3389830508,0.3389830508,8.882e-16
7.9,389.9160,0.3361344538,0.3361344538,1.055e-15
8.0,386.6667,0.3333333333,0.3333333333,1.110e-15
8.1,383.4711,0.3305785124,0.3305785124,1.388e-15
8.2,380.3279,0.3278688525,0.3278688525,1.499e-15
8.3,377.2358,0.3252032520,0.3252032520,1.277e-15
8.4,374.1935,0.3225806452,0.3225806452,1.110e-15
8.5,371.2000,0.3200000000,0.3200000000,1.221e-15
8.6,368.2540,0.3174603175,0.3174603175,1.332e-15
8.7,365.3543,0.3149606299,0.3149606299,1.332e-15
8.8,362.5000,0.3125000000,0.3125000000,1.166e-15
8.9,359.6899,0.3100775194,0.3100775194,1.110e-15
9.0,356.9231,0.3076923077,0.3076923077,9.992e-16
9.1,354.1985,0.3053435115,0.3053435115,9.437e-16
9.2,351.5152,0.3030303030,0.3030303030,1.166e-15
9.3,348.8722,0.3007518797,0.3007518797,1.221e-15
9.4,346.2687,0.2985074627,0.2985074627,1.221e-15
9.5,343.7037,0.2962962963,0.2962962963,1.332e-15
9.6,341.1765,0.2941176471,0.2941176471,1.443e-15
9.7,338.6861,0.2919708029,0.2919708029,1.277e-15
9.8,336.2319,0.2898550725,0.2898550725,1.110e-15
9.9,333.8129,0.2877697842,0.2877697842,1.110e-15
10.0,331.4286,0.2857142857,0.2857142857,1.221e-15
10.1,329.0780,0.2836879433,0.2836879433,1.277e-15
10.2,326.7606,0.2816901408,0.2816901408,1.221e-15
10.3,324.4755,0.2797202797,0.2797202797,1.055e-15
10.4,322.2222,0.2777777778,0.2777777778,8.327e-16
10.5,320.0000,0.2758620690,0.2758620690,8.882e-16
10.6,317.8082,0.2739726027,0.2739726027,9.992e-16
