t_s,N_rpm,speed_ratio_numeric,speed_ratio_tanh,abs_err,flow_ratio_lumped_estimate
0.0,0.0000,0.0000000000,0.0000000000,0.000e+00,0.000000
0.1,28.9940,0.0249947930,0.0249947930,6.939e-18,0.000036
0.2,57.9517,0.0499583750,0.0499583750,0.000e+00,0.000291
0.3,86.8372,0.0748596907,0.0748596907,1.388e-17,0.000982
0.4,115.6149,0.0996679946,0.0996679946,1.388e-17,0.002323
0.5,144.2495,0.1243530018,0.1243530018,5.551e-17,0.004525
0.6,172.7066,0.1488850336,0.1488850336,0.000e+00,0.007792
0.7,200.9528,0.1732351578,0.1732351578,2.776e-17,0.012322
0.8,228.9554,0.1973753202,0.1973753202,1.665e-16,0.018297
0.9,256.6830,0.2212784679,0.2212784679,1.388e-16,0.025887
1.0,284.1056,0.2449186624,0.2449186624,2.220e-16,0.035239
1.1,311.1946,0.2682711820,0.2682711820,2.776e-16,0.046475
1.2,337.9226,0.2913126125,0.2913126125,5.551e-16,0.059687
1.3,364.2643,0.3140209253,0.3140209253,7.216e-16,0.074930
1.4,390.1956,0.3363755443,0.3363755443,7.216e-16,0.092219
1.5,415.6946,0.3583573984,0.3583573984,6.661e-16,0.111522
1.6,440.7408,0.3799489623,0.3799489623,4.996e-16,0.132761
1.7,465.3158,0.4011342849,0.4011342849,6.661e-16,0.155811
1.8,489.4028,0.4218990053,0.4218990053,8.882e-16,0.180498
1.9,512.9872,0.4422303560,0.4422303560,9.992e-16,0.206609
2.0,536.0559,0.4621171573,0.4621171573,1.055e-15,0.233896
2.1,558.5978,0.4815497984,0.4815497984,1.055e-15,0.262087
2.2,580.6034,0.5005202112,0.5005202112,8.882e-16,0.290896
2.3,602.0653,0.5190218339,0.5190218339,9.992e-16,0.320032
2.4,622.9775,0.5370495670,0.5370495670,9.992e-16,0.349217
2.5,643.3357,0.5545997223,0.5545997223,6.661e-16,0.378189
2.6,663.1372,0.5716699661,0.5716699661,5.551e-16,0.406714
2.7,682.3807,0.5882592564,0.5882592564,4.441e-16,0.434591
2.8,701.0666,0.6043677771,0.6043677771,5.551e-16,0.461655
2.9,719.1964,0.6199968680,0.6199968680,7.772e-16,0.487780
3.0,736.7728,0.6351489524,0.6351489524,1.110e-15,0.512873
3.1,753.7999,0.6498274637,0.6498274637,1.332e-15,0.536876
3.2,770.2827,0.6640367703,0.6640367703,8.882e-16,0.559762
3.3,786.2272,0.6777821008,0.6777821008,1.110e-15,0.581524
3.4,801.6406,0.6910694698,0.6910694698,9.992e-16,0.602178
3.5,816.5305,0.7039056039,0.7039056039,8.882e-16,0.621754
3.6,830.9055,0.7162978702,0.7162978702,1.665e-15,0.640294
3.7,844.7749,0.7282542060,0.7282542060,1.554e-15,0.657843
3.8,858.1483,0.7397830513,0.7397830513,2.220e-15,0.674456
3.9,871.0362,0.7508932836,0.7508932836,2.442e-15,0.690184
4.0,883.4492,0.7615941560,0.7615941560,2.554e-15,0.705081
4.1,895.3985,0.7718952374,0.7718952374,2.554e-15,0.719199
4.2,906.8954,0.7818063576,0.7818063576,2.665e-15,0.732587
4.3,917.9516,0.7913375538,0.7913375538,2.665e-15,0.745291
4.4,928.5789,0.8004990218,0.8004990218,2.220e-15,0.757355
4.5,938.7892,0.8093010702,0.8093010702,2.665e-15,0.768818
4.6,948.5947,0.8177540780,0.8177540780,2.331e-15,0.779718
4.7,958.0074,0.8258684551,0.8258684551,2.109e-15,0.790087
4.8,967.0393,0.8336546070,0.8336546070,2.220e-15,0.799957
4.9,975.7026,0.8411229016,0.8411229016,2.331e-15,0.809355
5.0,984.0090,0.8482836400,0.8482836400,2.331e-15,0.818308
5.1,991.9706,0.8551470293,0.8551470293,2.665e-15,0.826840
5.2,999.5989,0.8617231593,0.8617231593,2.554e-15,0.834973
5.3,1006.9055,0.8680219810,0.8680219810,2.442e-15,0.842726
5.4,1013.9018,0.8740532879,0.8740532879,2.109e-15,0.850119
5.5,1020.5990,0.8798266997,0.8798266997,1.998e-15,0.857169
5.6,1027.0079,0.8853516482,0.8853516482,1.887e-15,0.863893
5.7,1033.1393,0.8906373656,0.8906373656,1.665e-15,0.870306
5.8,1039.0037,0.8956928738,0.8956928738,1.665e-15,0.876423
5.9,1044.6113,0.9005269769,0.9005269769,1.110e-15,0.882257
6.0,1049.9720,0.9051482536,0.9051482536,1.443e-15,0.887822
6.1,1055.0955,0.9095650530,0.9095650530,1.665e-15,0.893130
6.2,1059.9912,0.9137854901,0.9137854901,1.332e-15,0.898191
6.3,1064.6682,0.9178174436,0.9178174436,1.110e-15,0.903019
6.4,1069.1355,0.9216685544,0.9216685544,7.772e-16,0.907622
6.5,1073.4016,0.9253462253,0.9253462253,6.661e-16,0.912012
6.6,1077.4748,0.9288576215,0.9288576215,4.441e-16,0.916197
6.7,1081.3632,0.9322096717,0.9322096717,5.551e-16,0.920187
6.8,1085.0745,0.9354090706,0.9354090706,6.661e-16,0.923991
6.9,1088.6162,0.9384622813,0.9384622813,4.441e-16,0.927617
7.0,1091.9956,0.9413755385,0.9413755385,4.441e-16,0.931074
7.1,1095.2196,0.9441548524,0.9441548524,3.331e-16,0.934368
7.2,1098.2950,0.9468060128,0.9468060128,3.331e-16,0.937508
7.3,1101.2281,0.9493345935,0.9493345935,3.331e-16,0.940500
7.4,1104.0253,0.9517459572,0.9517459572,7.772e-16,0.943351
7.5,1106.6925,0.9540452602,0.9540452602,3.331e-16,0.946068
7.6,1109.2355,0.9562374581,0.9562374581,2.220e-16,0.948656
7.7,1111.6597,0.9583273110,0.9583273110,7.772e-16,0.951122
7.8,1113.9705,0.9603193885,0.9603193885,5.551e-16,0.953471
7.9,1116.1730,0.9622180761,0.9622180761,7.772e-16,0.955709
8.0,1118.2720,0.9640275801,0.9640275801,5.551e-16,0.957841
8.1,1120.2722,0.9657519334,0.9657519334,1.221e-15,0.959871
8.2,1122.1782,0.9673950013,0.9673950013,1.332e-15,0.961804
8.3,1123.9942,0.9689604868,0.9689604868,1.554e-15,0.963646
8.4,1125.7242,0.9704519366,0.9704519366,1.776e-15,0.965399
8.5,1127.3724,0.9718727459,0.9718727459,1.554e-15,0.967069
8.6,1128.9424,0.9732261643,0.9732261643,1.554e-15,0.968659
8.7,1130.4377,0.9745153011,0.9745153011,1.998e-15,0.970173
8.8,1131.8620,0.9757431300,0.9757431300,2.109e-15,0.971614
